title,link,reviewer,stars,gm,year,sentiment_sentiment_neg,sentiment_sentiment_neu,sentiment_sentiment_pos,sentiment_sentiment_compound,review_length
Come and See,https://www.rogerebert.com/reviews/great-movie-come-and-see-1985,Roger Ebert,4.0,True,1985,0.149,0.777,0.074,-0.9989,6967
Metropolis,https://www.rogerebert.com/reviews/great-movie-metropolis-2010-restoration-1927,Roger Ebert,4.0,True,1927,0.079,0.807,0.114,0.9934,7816
Viridiana,https://www.rogerebert.com/reviews/great-movie-viridiana-1961,Roger Ebert,4.0,True,1961,0.094,0.751,0.156,0.9984,7203
The Big Lebowski,https://www.rogerebert.com/reviews/great-movie-the-big-lebowski-1998,Roger Ebert,4.0,True,1998,0.069,0.848,0.083,0.9445,7879
Pink Floyd: The Wall,https://www.rogerebert.com/reviews/great-movie-pink-floyd-the-wall-1982,Roger Ebert,4.0,True,1982,0.174,0.733,0.093,-0.9989,7101
Make Way for Tomorrow,https://www.rogerebert.com/reviews/make-way-for-tomorrow-1937,Roger Ebert,4.0,False,1937,0.071,0.791,0.138,0.999,7642
The Hairdresser's Husband,https://www.rogerebert.com/reviews/the-hairdressers-husband-1990,Roger Ebert,4.0,False,1990,0.067,0.715,0.218,0.9998,7504
Caché,https://www.rogerebert.com/reviews/great-movie-cache-2005,Roger Ebert,4.0,True,2005,0.067,0.87,0.062,-0.6723,7524
Eternal Sunshine of the Spotless Mind,https://www.rogerebert.com/reviews/eternal-sunshine-of-the-spotless-mind-2004-1,Roger Ebert,4.0,False,1,0.078,0.759,0.162,0.9991,7678
25th Hour,https://www.rogerebert.com/reviews/25th-hour-2002,Roger Ebert,4.0,False,2002,0.067,0.807,0.127,0.9982,6988
The Red Shoes,https://www.rogerebert.com/reviews/the-red-shoes-1948,Roger Ebert,4.0,False,1948,0.094,0.736,0.17,0.9998,16694
Mon oncle d'Amerique,https://www.rogerebert.com/reviews/mon-oncle-damerique-1980,Roger Ebert,4.0,False,1980,0.079,0.785,0.136,0.9983,7515
"Leon Morin, Priest",https://www.rogerebert.com/reviews/leon-morin-priest-1961,Roger Ebert,4.0,False,1961,0.065,0.822,0.113,0.9971,7635
Richard III,https://www.rogerebert.com/reviews/richard-iii-1996-1,Roger Ebert,4.0,False,1,0.135,0.719,0.147,0.9402,7439
The Grey Zone,https://www.rogerebert.com/reviews/great-movie-the-grey-zone-2001,Roger Ebert,4.0,True,2001,0.134,0.782,0.084,-0.9982,7507
Barry Lyndon,https://www.rogerebert.com/reviews/barry-lyndon-1975,Roger Ebert,4.0,False,1975,0.093,0.753,0.154,0.9981,7556
"Spring, Summer, Fall, Winter... and Spring",https://www.rogerebert.com/reviews/spring-summer-fall-winter_and-spring-2003,Roger Ebert,4.0,False,2003,0.068,0.838,0.094,0.9906,7280
In a Lonely Place,https://www.rogerebert.com/reviews/in-a-lonely-place-1950,Roger Ebert,4.0,False,1950,0.134,0.711,0.155,0.9924,7922
Souls For Sale,https://www.rogerebert.com/reviews/souls-for-sale-1923,Roger Ebert,4.0,False,1923,0.088,0.814,0.098,0.7743,7913
Rio Bravo,https://www.rogerebert.com/reviews/rio-bravo-1959,Roger Ebert,4.0,False,1959,0.073,0.812,0.115,0.9959,7846
Man With a Movie Camera,https://www.rogerebert.com/reviews/great-movie-man-with-a-movie-camera-1929,Roger Ebert,4.0,True,1929,0.048,0.888,0.064,0.9683,7760
